222541709;Maria;maria@gmail.com;516041740;IVULFacKOHnE
273855719;Bia;bia@gmail.com;135287040;nENboRIfY
242911129;Ze;ze@gmail.com;478253311;aRgiUMPoNeth
208374892;Rodrigo;rodrigo@gmail.com;159323737;ouGalTHfulTi
235521388;Afonso;afonso@gmail.com;223060130;oxenIScocKrA
282082492;Ernesto;ernesto@gmail.com;528298024;otanXIANeSID
284598534;Joao;joaolapr@gmail.com;429367380;joaoLAPR3
232854114;Fernando;fernando@gmail.com;540766680;RidiaNDYgeOu
213360454;Paulo;paulo@gmail.com;503284806;ARKPLEnTRULi
246944900;Catarina;catarinacatarina805@gmail.com;363604047;catyLAPR3
212243381;Ana;ana@gmail.com;469155778;INFORLiAsTIO
214625982;Mariana;mariana@gmail.com;051825654;BRAcTROPilEa
287580644;Marta;marta@gmail.com;248790097;pLaMidNarIan
234148136;Carlos;carlos@gmail.com;540570577;RITIountESIT
281839280;Alexandre;alexandre@gmail.com;506095962;niAMegorSica
298273691;Rosa;rosa@gmail.com;004261205;soRIdenCHEnm
245725610;Gabriela;gabrielalapr@gmail.com;487329482;gabiLAPR3
282558861;Floribela;floribela@gmail.com;224656188;mItexTeRUtHi
